iteration,phase,parent_iteration,loss_type,loss_gamma,loss_alpha,use_class_weights,dropout_rate,head_hidden_features,learning_rate,num_epochs,freeze_backbone,weight_decay,scheduler_patience,scheduler_mode,early_stopping_enabled,early_stopping_patience,early_stopping_monitor,early_stopping_min_delta,rare_class_aug_enabled,threshold_optimization,auc_improvement_enabled
19,-,-,FocalLoss,2.50,0.8000,Yes,0.4000,-,1.00e-05,120,-,0.00e+00,5,min,Yes,10,-,0.0100,Yes,per_class_f1_score,-
20,-,-,FocalLoss,3.00,0.7000,Yes,0.4000,-,1.00e-05,150,-,0.00e+00,5,min,Yes,10,-,0.0100,Yes,per_class,-
20,-,-,FocalLoss,3.00,0.7000,Yes,0.4000,-,1.00e-05,150,-,0.00e+00,5,min,Yes,10,-,0.0100,Yes,per_class,-
22,-,-,focal,2.00,0.8000,Yes,0.5000,-,1.00e-05,200,-,0.00e+00,5,min,Yes,10,-,0.0100,Yes,per_class,-
22,-,-,focal,2.00,0.8000,Yes,0.5000,-,1.00e-05,200,-,0.00e+00,5,min,Yes,10,-,0.0100,Yes,per_class,-
22,-,-,focal,2.00,0.8000,Yes,0.5000,-,1.00e-05,200,-,0.00e+00,5,min,Yes,10,-,0.0100,Yes,per_class,-
22,-,-,focal,2.00,0.8000,Yes,0.5000,-,1.00e-05,200,-,0.00e+00,5,min,Yes,10,-,0.0100,Yes,per_class,-
22,-,-,focal,2.00,0.8000,Yes,0.5000,-,1.00e-05,200,-,0.00e+00,5,min,Yes,10,-,0.0100,Yes,per_class,-
27,-,-,focal,2.00,0.8000,Yes,0.5000,-,1.00e-05,200,-,0.00e+00,5,min,Yes,10,-,0.0100,Yes,per_class_f1_score,-
28,-,-,focal,2.00,0.8000,Yes,0.5000,-,1.00e-05,200,-,0.00e+00,5,min,Yes,10,-,0.0100,Yes,per_class_f1_score,-
32,-,-,FocalLoss,2.00,-,Yes,0.3000,-,0.0010,20,-,0.00e+00,5,min,Yes,5,-,0.0100,Yes,per_class_f1_score,-
33,-,-,FocalLoss,2.00,-,Yes,0.3000,-,0.0010,20,-,0.00e+00,5,min,Yes,5,-,0.0100,Yes,per_class_f1_score,-
33,-,-,FocalLoss,2.00,-,Yes,0.3000,-,0.0010,20,-,0.00e+00,5,min,Yes,5,-,0.0100,Yes,per_class_f1_score,-
35,-,-,FocalLoss,2.00,-,Yes,0.3000,-,0.0010,20,-,0.00e+00,5,min,Yes,5,-,0.0100,Yes,per_class_f1_score,-
36,-,-,FocalLoss,2.00,-,Yes,0.3000,-,0.0010,20,-,0.00e+00,5,min,Yes,5,-,0.0100,Yes,per_class_f1_score,-
36,-,-,FocalLoss,2.00,-,Yes,0.3000,-,0.0010,20,-,0.00e+00,5,min,Yes,5,-,0.0100,Yes,per_class_f1_score,-
38,-,-,FocalLoss,2.00,-,Yes,0.3000,-,0.0010,20,-,0.00e+00,5,min,Yes,5,-,0.0100,Yes,per_class_f1_score,-
39,-,-,FocalLoss,2.00,-,Yes,0.3000,-,0.0010,20,-,0.00e+00,5,min,Yes,5,-,0.0100,Yes,per_class_f1_score,-
40,-,-,FocalLoss,3.50,0.5000,Yes,0.2000,-,0.0010,60,-,0.00e+00,5,min,Yes,5,-,0.0100,Yes,per_class_f1_score,-
41,-,-,FocalLoss,2.00,0.5000,Yes,0.2000,-,0.0010,60,-,0.00e+00,5,min,Yes,5,-,0.0100,Yes,per_class_f1_score,-
42,-,-,FocalLoss,4.00,0.5000,Yes,0.2000,-,0.0010,60,-,0.00e+00,5,min,Yes,5,-,0.0100,Yes,per_class_f1_score,-
43,-,-,FocalLoss,2.50,0.5000,Yes,0.2000,-,0.0010,60,-,0.00e+00,5,min,Yes,5,-,0.0100,Yes,per_class_f1_score,-
43,-,-,FocalLoss,2.50,0.5000,Yes,0.2000,-,0.0010,60,-,0.00e+00,5,min,Yes,5,-,0.0100,Yes,per_class_f1_score,-
45,-,-,FocalLoss,2.50,0.5000,Yes,0.2000,-,0.0010,60,-,0.00e+00,5,min,Yes,5,-,0.0100,Yes,per_class_f1_score,-
46,-,-,FocalLoss,2.50,0.5000,Yes,0.2000,-,0.0010,60,-,0.00e+00,5,min,Yes,5,-,0.0100,Yes,per_class_f1_score,-
46,-,-,FocalLoss,2.50,0.5000,Yes,0.2000,-,0.0010,60,-,0.00e+00,5,min,Yes,5,-,0.0100,Yes,per_class_f1_score,-
48,-,-,FocalLoss,2.50,0.5000,Yes,0.2000,-,0.0010,60,-,0.00e+00,5,min,Yes,5,-,0.0100,Yes,per_class_f1_score,-
